RJI,KDQ,6.03
JHDC,IAM,3.62
JHDC,JHD,2.86
JHDC,JNDO,0
DRZ,KYS,7.6
BMPR,CHHU,10
DRQ,RGH,8.48
DRQ,SGL,6.41
DRS,BFY,6.55
DRS,MJ,8.76
DRR,MWY,5.74
DRR,RMY,9.65
DRU,BLKR,6.23
DRU,RRB,6
DRW,CHP,7.65
DRW,SID,5.55
DRV,ZNA,6.25
DRV,DLN,13.55
DRI,BAGL,4.22
DRI,GJH,4.68
DRH,MSDN,6
DRH,DRTP,5.51
DRL,KRSA,12.36
DRL,BKRL,12.84
DRO,BAPR,6.2
DRO,NHX,7.03
JNDO,IAM,3.62
JNDO,JHD,2.86
DRA,KTZ,5.61
DRA,ETBC,6.08
DRB,RPZ,10.36
DRB,KLH,10.06
ABGT,RGI,6.4
ABGT,HSD,3.51
DRD,VGN,12.2
DRD,GVD,11.08
DRG,AY,4.9
DRG,BLG,9.85
VVKN,CPW,1
VVKN,CD,14.64
VVKP,DKZ,2.94
VVKP,DBSI,1.39
BGKT,BANE,3
BGKT,JU,4
KISN,BXL,3.39
KISN,ODM,5.09
SVHE,NVD,4
SVHE,HBS,4.01
HEOC,BYT,14.32
HEOC,HN,0.97
NKRA,SIRD,20.53
NKRA,DTRD,22.22
NDRT,NWN,5.72
NDRT,ZP,5.85
BGKA,BSPK,6.7
BGKA,BNDM,11.28
VADR,SEGM,4.32
VADR,SLOR,7.44
GOL,TUX,12.69
GOL,MXW,5.04
BNPT,BNR,4.42
MNHL,PHRH,6
MNHL,BJPL,6
MNHA,RNW,5.33
MNHA,BILA,5.41
BNPA,GSI,5.86
BNPA,KPJ,5
MLG,PIP,7.83
MLG,MYKR,5.6
GOK,ANKL,11.11
GOK,KT,26.73
NNNL,RJJN,3.88
GOE,RNY,7.77
GOE,NLV,16.76
GOD,LNK,6.99
GOD,JGW,9.64
KHKT,BXJ,8.19
GOA,RYT,16.95
GOA,SCN,15.75
MLO,DKN,12.22
MLO,BFW,8.91
CHDA,KEPR,5.38
CHDA,MWP,3.52
AHLR,NRA,7.64
AHLR,DEOS,6.03
OV,TRX,5.37
OV,PTM,4.71
CAPE,SUCH,15.51
KHKN,BHD,3.4
KHKN,HUK,3.73
CAPC,GAM,8.81
CAPC,CAP,1.01
MPF,RNQ,5.67
MPF,JRQ,8.71
MPG,SRNK,8.05
MPG,KCO,5.23
MPD,SMCK,5.53
MPD,JPR,5.88
RWTB,ULG,12.31
RWTB,MJBT,9.18
MPC,SZV,7.8
MPC,TPP,12.39
MPA,CII,7.23
AVT,DHL,6
AVT,VTE,3
MPO,SICY,1.78
MPO,BNF,7.05
MPO,PMI,6.34
MPL,KBA,8.89
MPL,VLD,7.58
AVP,KDRI,6
AVP,CATD,7
AJJ,PLMG,2
AJJ,TKO,6.67
AJJ,MLPM,2.38
AJJ,TRT,14.2
MPH,DLP,6.61
MPH,RMU,8.52
AVS,PUU,8
AVS,KIF,4
AVL,MQZ,6
AVL,SJF,5
MPT,PCL,7.5
MPT,VLV,4.71
MLQ,TSAH,4.04
